order_id,customer_id,order_date
151,3,2025-02-08
152,20,2025-04-06
153,59,2024-07-27
154,36,2024-10-19
155,19,2024-10-27
156,90,2025-04-14
157,67,2024-08-01
158,19,2024-10-12
159,20,2024-09-13
160,96,2025-03-22
161,71,2024-10-28
162,52,2024-10-06
163,33,2024-10-13
164,40,2025-02-12
165,39,2024-06-10
166,82,2024-09-03
167,1,2024-10-17
168,11,2024-09-03
169,92,2025-01-18
170,57,2024-08-11
171,89,2024-09-27
172,50,2024-07-03
173,23,2025-01-26
174,31,2025-04-28
175,94,2024-11-05
176,42,2024-05-31
177,99,2024-06-09
178,7,2025-03-24
179,16,2024-06-07
180,90,2024-06-10
181,60,2024-10-19
182,2,2024-06-11
183,1,2025-02-18
184,48,2025-02-15
185,12,2024-09-26
186,69,2025-03-16
187,37,2024-06-24
188,32,2024-12-07
189,9,2024-05-28
190,99,2024-12-18
191,19,2024-12-09
192,48,2024-12-09
193,80,2024-09-10
194,3,2025-01-20
195,20,2024-06-21
196,24,2024-10-11
197,54,2024-09-19
198,33,2025-04-09
199,24,2025-01-18
200,75,2025-05-05
201,72,2025-02-20
202,36,2024-10-16
203,38,2025-04-07
204,84,2025-04-25
205,99,2025-02-09
206,89,2024-05-24
207,99,2024-08-24
208,25,2024-12-24
209,93,2024-09-03
210,18,2024-09-18
211,82,2024-06-14
212,66,2024-12-15
213,54,2024-11-18
214,35,2024-07-26
215,80,2024-07-04
216,61,2025-01-15
217,41,2024-11-08
218,100,2024-07-31
219,33,2025-03-30
220,68,2024-06-16
221,33,2024-09-17
222,14,2025-03-29
223,21,2024-12-07
224,48,2024-09-24
225,20,2024-06-18
226,8,2025-02-25
227,7,2024-08-21
228,67,2024-12-13
229,17,2024-07-31
230,33,2025-03-14
231,48,2024-10-18
232,76,2025-03-29
233,59,2024-12-08
234,86,2025-02-27
235,22,2025-03-18
236,30,2025-01-01
237,38,2024-12-29
238,51,2025-01-22
239,54,2025-01-09
240,8,2024-12-07
241,27,2024-05-15
242,27,2024-12-27
243,98,2025-04-30
244,21,2025-01-15
245,30,2025-03-23
246,97,2025-01-29
247,28,2024-08-16
248,64,2024-05-16
249,97,2024-07-14
250,69,2024-08-19
251,61,2025-02-01
252,48,2025-02-25
253,19,2024-09-01
254,4,2025-04-27
255,35,2024-09-13
256,64,2024-09-18
257,49,2024-05-07
258,17,2024-07-14
259,44,2025-04-07
260,92,2024-06-29
261,30,2024-12-10
262,93,2025-01-15
263,46,2024-10-07
264,6,2024-06-01
265,99,2024-06-29
266,37,2025-02-16
267,24,2025-01-05
268,93,2024-05-16
269,46,2024-06-09
270,53,2025-02-18
271,95,2024-11-27
272,99,2024-07-27
273,60,2024-09-28
274,97,2024-10-15
275,63,2024-10-28
276,85,2024-09-14
277,32,2024-07-05
278,87,2024-09-25
279,33,2024-09-03
280,67,2025-02-09
281,18,2024-09-07
282,25,2025-03-02
283,95,2025-05-05
284,54,2024-12-11
285,58,2024-12-22
286,67,2024-06-06
287,46,2025-04-13
288,24,2024-05-25
289,32,2024-07-04
290,47,2024-07-05
291,86,2025-02-21
292,23,2024-12-30
293,66,2024-05-24
294,27,2025-01-21
295,2,2024-06-05
296,90,2024-08-18
297,17,2024-10-24
298,33,2025-01-17
299,9,2024-10-16
300,43,2024-11-09
